Academic Department,Course Code,Course Instructor,Course Name,Course Section,ISBN (Normalized),Title Author Combined and Normalized,Publisher,Title,Publication Date
GW - ENGL-22,ENGL 2100/AMST 2490/WGSS 3170 - Chu - Fall 2023,"Chu, Patricia",ENGL 2100/AMST 2490/WGSS 3170,,110191128X; 9781101911280,twilight los angeles 1992 on the road a search for american character - smit,Anchor Books,"Twilight, Los Angeles, 1992 : on the road : a search for American character /",[2014]
GW - ENGL-22,ENGL 2100/AMST 2490/WGSS 3170 - Chu - Fall 2023,"Chu, Patricia",ENGL 2100/AMST 2490/WGSS 3170,,1419718770; 9781419718779; 1613129300; 9781613129302,"best we could do an illustrated memoir - bui,",Abrams ComicArts,The best we could do : an illustrated memoir /,[2017]
GW - ENGL-22,ENGL 2100/AMST 2490/WGSS 3170 - Chu - Fall 2023,"Chu, Patricia",ENGL 2100/AMST 2490/WGSS 3170,,163405976X; 9781634059763,"we hereby refuse japanese american resistance to wartime incarceration - abe,",Chin Music Press; Wing Luke Museum,We hereby refuse : Japanese American resistance to wartime incarceration /,[2021]
GW - ENGL-22,ENGL 2100/AMST 2490/WGSS 3170 - Chu - Fall 2023,"Chu, Patricia",ENGL 2100/AMST 2490/WGSS 3170,,1984820370; 9781984820372; 9781984820365; 1984820362,minor feelings an asian american reckoning - hong,One World,Minor feelings : an Asian American reckoning /,[2020]
GW - ENGL-22,ENGL 2100/AMST 2490/WGSS 3170 - Chu - Fall 2023,"Chu, Patricia",ENGL 2100/AMST 2490/WGSS 3170,,9780385473750; 0385473753; 9780385473767; 0385473761,twilight los angeles 1992 on the road a search for american character - smit,Anchor Books,"Twilight--Los Angeles, 1992 on the road : a search for American character /",1994.
GW - ENGL-22,ENGL 2100/AMST 2490/WGSS 3170 - Chu - Fall 2023,"Chu, Patricia",ENGL 2100/AMST 2490/WGSS 3170,,9781439920534; 1439920532; 9781439920510; 1439920516; 1439920524; 9781439920527,passing for perfect college impostors and other model minorities - ninh,Temple University Press,Passing for perfect : college impostors and other model minorities /,2021.
GW - ENGL-22,ENGL 2460 - Hartman - Fall 2023,"Hartman, Virginia",ENGL 2460,,0063244306; 9780063244306,no sweet without brine poems - mani,Amistad an imprint of HarperCollins Publishers,No sweet without brine : poems /,[2023]
GW - ENGL-22,ENGL 2460 - Hartman - Fall 2023,"Hartman, Virginia",ENGL 2460,,022661655X; 9780226616551; 022661669X; 9780226616698; 9780226616728; 022661672X,writing fiction a guide to narrative craft - burr,The University of Chicago Press,Writing fiction : a guide to narrative craft /,2019.
GW - ENGL-22,ENGL 2460 - Hartman - Fall 2023,"Hartman, Virginia",ENGL 2460,,0374610487; 9780374610487; 0374613044; 9780374613044,absolution - mcde,Farrar Straus and Giroux,Absolution /,2023.
GW - ENGL-22,ENGL 2711W - Sugathan - Fall 2023,"Sugathan, Leenu",ENGL 2711W,,9789382579014; 938257901X,this side that side restorying partition graphic narratives from pakistan india bangladesh -,Yoda Press,"This side, that side : restorying partition : graphic narratives from Pakistan, India, Bangladesh /",[2013]
GW - FILM-2098,FILM 2153 - Shull - Fall 2023,"Shull, Michael",FILM 2153,,1281346470; 9781281346476; 9786611346478; 6611346473; 0191518182; 9780191518188; 0198742428; 9780198742425; 0198112572; 9780198112570,oxford history of world cinema -,Oxford University Press,The Oxford history of world cinema,1996.
GW - FILM-2098,FILM 2153 - Shull - Fall 2023,"Shull, Michael",FILM 2153,,9780198112570; 0198112572; 9780198742425; 0198742428,oxford history of world cinema -,Oxford University Press,The Oxford history of world cinema /,1996.
GW - GEOG-112,GEOG 1002 - Shiklomanov - Fall 2023,"Shiklomanov, Nikolay",GEOG 1002,,0135827140; 9780135827147,mcknight s physical geography a landscape appreciation - hess,Pearson,McKnight's physical geography : a landscape appreciation /,[2022]
GW - GEOG-112,GEOG 1003 - Odell - Fall 2023,"Odell, Scott",GEOG 1003,,1405189320; 9781405189323; 9781405189316; 1405189312; 9781118241059; 1118241053; 9781118241004; 1118241002; 9781118240984; 1118240987; 1118240952; 9781118240953; 1118240936; 9781118240939,introduction to human environment geography local dynamics and global processes - mose,Wiley-Blackwell,An introduction to human-environment geography : local dynamics and global processes /,[2014]
GW - GEOG-112,GEOG 2104 - Hinton - Fall 2023,"Hinton, Richard",GEOG 2104,,1453337628; 9781453337622,essentials of geographic information systems - shin,FlatWorld,Essentials of geographic information systems /,[2022]
GW - GEOG-112,GEOG 2120 - Price - Fall 2023,"Price, Marie",GEOG 2120,,0134898397; 9780134898391,globalization and diversity geography of a changing world - pric,Pearson Education Inc,Globalization and diversity : geography of a changing world /,[2020]
GW - GEOL-65,GEOL 1005 - Nassar - Fall 2023,"Nassar, Peter",GEOL 1005,,1264094728; 9781264094721; 1266715967; 9781266715969; 9781266716768; 1266716769,environmental geology - mont,McGraw Hill LLC,Environmental geology /,[2023]
GW - GER-119,GER 3185 - Stein - Fall 2023,"Stein, Mary Beth",GER 3185,,9780151007646; 0151007640,crabwalk - gras,Harcourt,Crabwalk /,[2002]
GW - GER-119,GER 3185 - Stein - Fall 2023,"Stein, Mary Beth",GER 3185,,9780226041278; 0226041271,bronstein s children - beck,University of Chicago Press,Bronstein's children /,1999.
GW - GER-119,GER 3185 - Stein - Fall 2023,"Stein, Mary Beth",GER 3185,,9780374103743; 0374103747,in my brother s shadow a life and death in the ss - timm,Farrar Straus Giroux,In my brother's shadow : a life and death in the SS /,[2005]
GW - HIST-51,HIST 1310 - Goetz - Fall 2023,"Goetz, Matthew",HIST 1310,,0357022319; 9780357022313; 0357020758; 9780357020753,liberty equality power a history of the american people to 1877 volume 1 - murr,Cengage,"Liberty, equality, power : a history of the American people.",2018
GW - HIST-51,HIST 1310 - Goetz - Fall 2023,"Goetz, Matthew",HIST 1310,,9780670022960; 0670022969,american nations a history of the eleven rival regional cultures of north america - wood,Viking,American nations : a history of the eleven rival regional cultures of North America /,2011.
GW - HIST-51,HIST 3186 - Harrison - Fall 2023,"Harrison, Hope",HIST 3186,,9781474262415; 1474262414; 1474262422; 9781474262422; 9781474262439; 1474262430; 9781474262446; 1474262449,germany since 1945 politics culture and society - cald,Bloomsbury Academic,"Germany since 1945 : politics, culture, and society /",2018.
GW - HIST-51,HIST 3303 - Goetz - Fall 2023,"Goetz, Matthew",HIST 3303,,1138892041; 9781138892040; 113889205X; 9781138892057; 9781315709369; 1315709368,revolutionary america 1763 1815 a political history - cogl,Routledge Taylor & Francis Group,"Revolutionary America, 1763-1815 : a political history /",2017.
GW - HIST-51,HIST 3303 - Goetz - Fall 2023,"Goetz, Matthew",HIST 3303,,9780415537568; 0415537568; 9780415537575; 0415537576,american revolution reader -,Routledge,The American Revolution reader /,2014.
GW - HIST-51,HIST 3304 - Brunsman - Fall 2023,"Brunsman, Denver",HIST 3304,,,lives bound together slavery at washington s mount vernon - scho,,Lives bound together: slavery at Washington's Mount Vernon,2016
GW - HIST-51,HIST 3304 - Brunsman - Fall 2023,"Brunsman, Denver",HIST 3304,,9780393060324; 0393060322,revolution mapping the road to american independence 1755 1783 - rich,,Revolution : mapping the road to American independence 1755-1783,2015
GW - HIST-51,HIST 3304 - Brunsman - Fall 2023,"Brunsman, Denver",HIST 3304,,9780674246386; 0674246381,washington at the plow the founding farmer and the question of slavery - rags,,Washington at the plow: the founding farmer and the question of slavery,2021
GW - HIST-51,HIST 3304 - Brunsman - Fall 2023,"Brunsman, Denver",HIST 3304,,9780735224100; 0735224102,"you never forget your first a biography of george washington - coe,",,You never forget your first : a biography of George Washington,2020
GW - HIST-51,HIST 3304 - Brunsman - Fall 2023,"Brunsman, Denver",HIST 3304,,9781335449511; 1335449515,first family - good,,First family,2023
GW - HIST-51,HIST 3304 - Brunsman - Fall 2023,"Brunsman, Denver",HIST 3304,,9781555952686; 1555952682,george washington collection fine and decorative arts at mount vernon - cado,Distributed in the United States by National Book Networks; Hudson Hills Press,The George Washington collection : fine and decorative arts at Mount Vernon /,[2006]
GW - HIST-51,HIST 3324 - Klemek - Fall 2023,"Klemek, Christopher",HIST 3324,,9780252008801; 0252008804,lives of their own blacks italians and poles in pittsburgh 1900 1960 - bodn,University of Illinois Press,"Lives of their own : Blacks, Italians, and Poles in Pittsburgh, 1900-1960 /",[1982]
GW - HIST-51,HIST 3324 - Klemek - Fall 2023,"Klemek, Christopher",HIST 3324,,9780252013782; 0252013786,work and community in the jungle chicago s packinghouse workers 1894 1922 - barr,University of Illinois Press,"Work and community in the jungle : Chicago's packinghouse workers, 1894-1922 /",[1987]
GW - HIST-51,HIST 3324 - Klemek - Fall 2023,"Klemek, Christopher",HIST 3324,,9780300048483; 0300048483,constructing chicago - blue,Yale University Press,Constructing Chicago /,[1991]
GW - HIST-51,HIST 3324 - Klemek - Fall 2023,"Klemek, Christopher",HIST 3324,,9780521343749; 0521343747; 9780521387392; 0521387396,new face on the countryside indians colonists and slaves in south atlantic forests 1500 1800 - silv,Cambridge University Press,"A new face on the countryside : Indians, colonists, and slaves in South Atlantic forests, 1500-1800 /",1990.
GW - HIST-51,HIST 3324 - Klemek - Fall 2023,"Klemek, Christopher",HIST 3324,,9780812277470; 0812277473,roots of the american working class the industrialization of crafts in newark 1800 1860 - hirs,University of Pennsylvania Press,"Roots of the American working class : the industrialization of crafts in Newark, 1800-1860 /",1978.
GW - HIST-51,HIST 3324 - Klemek - Fall 2023,"Klemek, Christopher",HIST 3324,,9780938420750; 0938420755,chesapeake an environmental biography - wenn,Maryland Historical Society,The Chesapeake : an environmental biography /,[2001]
GW - HIST-51,HIST 6030 - Harrison - Fall 2023,"Harrison, Hope",HIST 6030,,0197575501; 9780197575505; 9780197575529; 0197575528,sparks china s underground historians and their battle for the future - john,Oxford University Press,Sparks : China's underground historians and their battle for the future /,[2023]
GW - HIST-51,HIST 6602 - Hopkins - Fall 2023,"Hopkins, Benjamin",HIST 6602,,9780226767765; 0226767760; 9780226767772; 0226767779,"comfort women sexual violence and postcolonial memory in korea and japan - soh,",University of Chicago Press,The comfort women : sexual violence and postcolonial memory in Korea and Japan /,[2008]
GW - HIST-51,HIST 6602 - Hopkins - Fall 2023,"Hopkins, Benjamin",HIST 6602,,9780393320275; 0393320278,embracing defeat japan in the wake of world war ii - dowe,WW Norton and Company/New Press,Embracing defeat : Japan in the wake of World War II /,2000.
GW - HIST-51,HIST 6602 - Hopkins - Fall 2023,"Hopkins, Benjamin",HIST 6602,,9780747558040; 0747558043,long shadows truth lies and history - pari,Bloomsbury,"Long shadows : truth, lies and history /",2002.
GW - HIST-51,HIST 6602 - Hopkins - Fall 2023,"Hopkins, Benjamin",HIST 6602,,9780802777683; 0802777686; 9780802779236; 0802779239,mao s great famine the history of china s most devastating catastrophe 1958 1962 - diko,Walker and Company,"Mao's great famine : the history of China's most devastating catastrophe, 1958-1962 /",2010.
GW - HOL-1570,HOL 8724 - Nakamura - Fall 2023,"Nakamura, Yoshie",HOL 8724,,1506386709; 9781506386706; 1506386768; 9781506386768; 9781506386683; 1506386687,research design qualitative quantitative and mixed methods approaches - cres,SAGE Publications Inc,"Research design : qualitative, quantitative, and mixed methods approaches /",[2018]
GW - HOL-1570,HOL 8724 - Nakamura - Fall 2023,"Nakamura, Yoshie",HOL 8724,,9781433832178; 1433832178; 9781433832161; 143383216X; 9781433832154; 1433832151,publication manual of the american psychological association the official guide to apa style -,American Psychological Association,Publication manual of the American Psychological Association : the official guide to APA style.,2020.
GW - HOL-1570,HOL 8724 - Nakamura - Fall 2023,"Nakamura, Yoshie",HOL 8724,,9781506330204; 1506330207,qualitative inquiry research design choosing among five approaches - cres,SAGE,Qualitative inquiry & research design : choosing among five approaches /,2018.
GW - IAFF-58,IAFF 2190W - Beyoghlow - Fall 2023,"Beyoghlow, Kamal",IAFF 2190W,,1071844466; 9781071844465; 9781071844489; 1071844482,middle east -,CQ Press; Sage,The Middle East /,2023.
GW - IAFF-58,IAFF 3172 - Hakizimana - Fall 2023,"Hakizimana, Gedeon",IAFF 3172,,0745687210; 9780745687216; 0745687229; 9780745687223,contemporary conflict resolution the prevention management and transformation of deadly conflicts - rams,Polity Press,"Contemporary conflict resolution : the prevention, management and transformation of deadly conflicts /",2016.
GW - IAFF-58,IAFF 3172 - Lazarus - Fall 2023,"Lazarus, Edward",IAFF 3172,,0745687210; 9780745687216; 0745687229; 9780745687223,contemporary conflict resolution the prevention management and transformation of deadly conflicts - rams,Polity Press,"Contemporary conflict resolution : the prevention, management and transformation of deadly conflicts /",2016.
GW - IAFF-58,IAFF 3172 - Lazarus - Fall 2023,"Lazarus, Edward",IAFF 3172,,9780072855357; 0072855355,social conflict escalation stalemate and settlement - prui,McGraw-Hill,"Social conflict : escalation, stalemate, and settlement.",[2004]
GW - IAFF-58,IAFF 3182 - Sutter - Fall 2023,"Sutter, Robert",IAFF 3182,,150953749X; 9781509537495; 9781509537518; 1509537511,world according to china - econ,Polity,The world according to China /,2022.
GW - IAFF-58,IAFF 3182 - Sutter - Fall 2023,"Sutter, Robert",IAFF 3182,,1509546510; 9781509546510; 9781509546527; 1509546529,china s leaders from mao to now - sham,Polity,China's leaders : from Mao to now /,2021.
GW - IAFF-58,IAFF 3182 - Sutter - Fall 2023,"Sutter, Robert",IAFF 3182,,9781503634152; 1503634159; 9781503634145; 1503634140,dragon roars back transformational leaders and dynamics of chinese foreign policy - zhao,Stanford University Press,The dragon roars back : transformational leaders and dynamics of Chinese foreign policy /,[2023]
GW - IAFF-58,IAFF 3186 - Keidel - Fall 2023,"Keidel, Albert",IAFF 3186,,9789811230486; 981123048X,china s economic challenge unconventional success - keid,World Scientific Publishing Co,China's economic challenge: unconventional success,2022
GW - IAFF-58,IAFF 6118 - Bennett - Fall 2023,"Bennett, Yan",IAFF 6118,,9789280812305; 9280812300; 9789280871999; 9280871994,transforming the united nations system designs for a workable world - schw,United Nations University Press,Transforming the United Nations system : designs for a workable world /,[2013]
GW - IAFF-58,IAFF 6118 - Gray - Fall 2023,"Gray, Gordon",IAFF 6188,,1250217032; 9781250217035; 9781250217042; 1250217040,losing the long game the false promise of regime change in the middle east - gord,St Martin's Press,Losing the long game : the false promise of regime change in the Middle East /,2020.
GW - IAFF-58,IAFF 6118 - Gray - Fall 2023,"Gray, Gordon",IAFF 6188,,9780374299286; 0374299285,statecraft and how to restore america s standing in the world - ross,Farrar Straus and Giroux,Statecraft : and how to restore America's standing in the world /,2007.
GW - IAFF-58,IAFF 6358/3187 - Abente Brun - Fall 2023,"Abente Brun, Diego",IAFF 6358/3187,,0190611340; 9780190611347,democracy in latin america political change in comparative perspective - smit,Oxford University Press,Democracy in Latin America : political change in comparative perspective /,[2017]
GW - IAFF-58,IAFF 6358/3187 - Abente Brun - Fall 2023,"Abente Brun, Diego",IAFF 6358/3187,,0190674652; 9780190674656; 0190674679; 9780190674670,modern latin america - smit,Oxford University Press,Modern Latin America /,[2019]
GW - IAFF-58,IAFF 6358/3187 - Abente Brun - Fall 2023,"Abente Brun, Diego",IAFF 6358/3187,,1509540016; 9781509540013; 1509540024; 9781509540020; 9781509540037; 1509540032,new latin america - cald,Polity Press,The new Latin America /,[2020]
GW - IAFF-58,IAFF 6358/3187 - Abente Brun - Fall 2023,"Abente Brun, Diego",IAFF 6358/3187,,9781588267610; 158826761X; 9781588267863; 1588267865,quality of democracy in latin america -,Lynne Rienner Publishers,The quality of democracy in Latin America /,2011.
GW - IBUS-1471,IBUS 3001 - Kulathunga - Fall 2023,"Kulathunga, Anoma",IBUS 3001,,9781264383870; 1264383878; 9781260387544; 1260387542,international business competing in the global marketplace - hill,McGraw-Hill/Irwin,International business : competing in the global marketplace /,[2023]
GW - MAE-318,MAE 3166W - Leng - Fall 2023,"Leng, Yongsheng",MAE 3166,,0470419970; 9780470419977; 0470556730; 9780470556733,materials science and engineering an introduction - call,John Wiley & Sons Inc,Materials science and engineering : an introduction /,[2010]
GW - MATH-180,MATH 1007 - Fall 2023,"Foroozan, Farshad; Pohrivchak, Michael; Schmitt, William",MATH 1007,,9781498798860; 1498798861,mathematics of politics - robi,CRC Press Taylor & Francis group,The mathematics of politics /,[2017]
GW - MATH-180,MATH 1009 - Fall 2023,"Dunn, Eric; Przytycki, Jozef",MATH 1009,,9781464124730; 1464124736; 9781464124839; 1464124833,for all practical purposes mathematical literacy in today s world -,WH Freeman and Co,For all practical purposes : mathematical literacy in today's world /,2016.
GW - MATH-180,MATH 1051 - Foroozan - Fall 2023,"Foroozan, Farshad",MATH 1051,,1319055702; 9781319055707,for all practical purposes mathematical literacy in today s world -,Macmillan Learning WH Freeman and Company,For all practical purposes : mathematical literacy in today's world /,[2022]
GW - MATH-180,MATH 1220 - Roosevelt - Fall 2023,"Roosevelt, Sharon",MATH 1220,,9780321671042; 032167104X,just in time algebra and trigonometry for calculus - muel,Pearson Education,Just-in-time algebra and trigonometry for calculus /,[2013]
GW - ORSC-1465,ORSC 1109 - Costanza - Fall 2023,"Costanza, David",ORSC 1109,,0132729946; 9780132729949; 0273765604; 9780273765608; 1299924409; 9781299924406,organizational theory design and change - jone,Pearson,"Organizational theory, design, and change /",[2013]
GW - ORSC-1465,ORSC 6209 - Debebe - Fall 2023,"Debebe, Gelaye",ORSC 6209,,0875845630; 9780875845630,mary parker follett prophet of management a celebration of writings from the 1920s -,Harvard Business School Press,Mary Parker Follett--prophet of management : a celebration of writings from the 1920s /,c1995.
GW - ORSC-1465,ORSC 6209 - Debebe - Fall 2023,"Debebe, Gelaye",ORSC 6209,,9780132663540; 0132663546; 9780138990220; 0138990220,organizations rational natural and open systems - scot,Prentice Hall,"Organizations : rational, natural, and open systems /",[1998]
GW - ORSC-1465,ORSC 6243/2143 - Debebe - Fall 2023,"Debebe, Gelaye",ORSC 6243/2143,,0471174661; 9780471174660,dialogue rediscover the transforming power of conversation - elli,J Wiley & Sons,Dialogue : rediscover the transforming power of conversation /,[1998]
GW - PAD-61,PPPA 6006 - Linquiti - Fall 2023,"Linquiti, Peter",PPPA 6006,,1544372604; 9781544372600; 9781544372631; 1544372639; 9781544372617; 1544372612,rebooting policy analysis strengthening the foundation expanding the scope - linq,Sage Publications/CQ Press,"Rebooting policy analysis : strengthening the foundation, expanding the scope /",[2023]
GW - PAD-61,PPPA 6006 - Linquiti - Fall 2023,"Linquiti, Peter",PPPA 6006,,9781544372600; 1544372604,rebooting policy analysis strengthening the foundation expanding the scope -,,"Rebooting Policy Analysis: Strengthening the Foundation, Expanding the Scope",9999
GW - PAD-61,PPPA 6066 - Linquiti - Fall 2023,"Linquiti, Peter",PPPA 6066,,,economics and the environment - eban,Wiley,Economics and the environment,2020
GW - PERS-2110,PERS 1001 - Valamotamed - Fall 2023,"Valamotamed, Maziar",PERS 1001,,9087282176; 9789087282172; 9789400601949; 9400601948,persian in use an elementary textbook of language and culture - sedi,Leiden University Press,Persian in use : an elementary textbook of language and culture /,[2015]
GW - PHIL-71,PHIL 2133 - Venner - Fall 2023,"Venner, Christopher",PHIL 2133,,1570754322; 9781570754326,mohandas gandhi essential writings - gand,Orbis Books,Mohandas Gandhi : essential writings /,2002.
GW - PHYS-233,PHYS 3165 - White - Fall 2023,"White, Gary",PHYS 3165,,,foundations of electromagnetic theory - reit,Addison-Wesley Pub Company,"Foundations of electromagnetic theory,",[1960]
GW - PHYS-233,PHYS 3165 - White - Fall 2023,"White, Gary",PHYS 3165,,9780201500646; 0201500647; 9780201510034; 0201510030; 9780201510041; 0201510049; 9780201510058; 0201510057; 0201510033,feynman lectures on physics - feyn,Addison-Wesley,The Feynman lectures on physics /,[1989]
GW - PHYS-233,PHYS 3165 - White - Fall 2023,"White, Gary",PHYS 3165,,9780393962512; 0393962512,div grad curl and all that an informal text on vector calculus - sche,WW Norton,"Div, grad, curl, and all that : an informal text on vector calculus /",[1992]
GW - PPPA-1557,PPPA 6053 - Niu - Fall 2023,"Niu, Meili",PPPA 6053,,1506326846; 9781506326849; 9781506326863; 1506326862,financial management for public health and not for profit organizations - fink,CQ Press an imprint of Sage Publications Incorporated,"Financial management for public, health, and not-for-profit organizations /",[2017]
GW - PSC-20,PSC 1001 - Croatti - Fall 2023,"Croatti, Mark",PSC 1001,,039342295X; 9780393422955; 9780393532869; 0393532860,cases and concepts in comparative politics - o'ne,WW Norton & Company,Cases and concepts in comparative politics /,[2021]
GW - PSC-20,PSC 1001 - Kramon - Fall 2023,"Kramon, Eric",PSC 1001,,0134562674; 9780134562674,comparative politics - samu,Pearson,Comparative politics /,[2018]
GW - PSC-20,PSC 1001 - Morgan - Fall 2023,"Morgan, Kimberly",PSC 1001,,039342295X; 9780393422955; 9780393532869; 0393532860,cases and concepts in comparative politics - o'ne,WW Norton & Company,Cases and concepts in comparative politics /,[2021]
GW - PSC-20,PSC 2440 - Olson - Fall 2023,"Olson, Lawrence",PSC 2440,,0198707568; 9780198707561,international relations theories discipline and diversity -,Oxford University Press,International relations theories : discipline and diversity /,[2016]
GW - PSC-20,PSC 2449 - Beyoghlow - Fall 2023,"Beyoghlow, Kamal",PSC 2449,,9780393920109; 0393920100,spread of nuclear weapons an enduring debate - saga,WW Norton & Co,The spread of nuclear weapons : an enduring debate /,2013.
GW - PSC-20,PSC 2476 - Karam - Fall 2023,"Karam, Joyce",PSC 2476,,0205968139; 9780205968138,history of the arab israeli conflict - bick,Routledge,A history of the Arab-Israeli conflict /,2016.
GW - PSC-20,PSC 2476 - Karam - Fall 2023,"Karam, Joyce",PSC 2476,,9781596913431; 1596913436,lemon tree an arab a jew and the heart of the middle east - tola,Bloomsbury,"The lemon tree : an Arab, a Jew, and the heart of the Middle East /",2007.
GW - PSC-20,PSC 6370 - Dickson - Fall 2023,"Dickson, Bruce",PSC 6370,,0679645381; 9780679645382; 0679643478; 9780679643470,wealth and power china s long march to the twenty first century - sche,Random House,Wealth and power : China's long march to the twenty-first century /,2013
GW - PSC-20,PSC 6370 - Dickson - Fall 2023,"Dickson, Bruce",PSC 6370,,9780679643470; 0679643478; 9780812976250; 0812976258; 9780679645382; 0679645381,wealth and power china s long march to the twenty first century - sche,Random House,Wealth and power : China's long march to the twenty-first century /,2013.
GW - PSC-20,PSC 6372 - Sutter - Fall 2023,"Sutter, Robert",PSC 6372,,150953749X; 9781509537495; 9781509537518; 1509537511,world according to china - econ,Polity,The world according to China /,2022.
GW - PSC-20,PSC 6372 - Sutter - Fall 2023,"Sutter, Robert",PSC 6372,,9781503634152; 1503634159; 9781503634145; 1503634140,dragon roars back transformational leaders and dynamics of chinese foreign policy - zhao,Stanford University Press,The dragon roars back : transformational leaders and dynamics of Chinese foreign policy /,[2023]
GW - PSTD-1546,PSTD 1010 - McCarthy - Fall 2023,"McCarthy, Eli",PSTD 1010,,0190217138; 9780190217136,invitation to peace studies - wood,Oxford University Press,Invitation to peace studies /,2016.
GW - PSTD-1546,PSTD 1010 - McCarthy - Fall 2023,"McCarthy, Eli",PSTD 1010,,1561483907; 9781561483907,little book of conflict transformation - lede,Good Books,The little book of conflict transformation /,[2003]
GW - PSTD-1546,PSTD 1010 - McCarthy - Fall 2023,"McCarthy, Eli",PSTD 1010,,1561488232; 9781561488230; 168099378X; 9781680993783,little book of restorative justice - zehr,Good Books,The little book of restorative justice /,[2015]
GW - PSTD-1546,PSTD 1010 - McCarthy - Fall 2023,"McCarthy, Eli",PSTD 1010,,1680993437; 9781680993431; 9781680993448; 1680993445,little book of race and restorative justice black lives healing and us social transformation - davi,Good Books,"The little book of race and restorative justice : black lives, healing, and US social transformation /",2019.
GW - PSYC-63,PSYC 1001 - Calabrese - Fall 2023,"Calabrese, Sarah",PSYC 1001,,0135198003; 9780135198001; 1292090588; 9781292090580,psychology - cicc,Pearson,Psychology /,[2020]
GW - PSYC-63,PSYC 2012 - Stock - Fall 2023,"Stock, Michelle",PSYC 2012,,0137633645; 9780137633647; 9780137633616; 0137633610,social psychology - aron,Pearson,Social psychology /,[2022]
GW - PSYC-63,PSYC 2013 - Forssell - Fall 2023,"Forssell, Stephen",PSYC 2013,,1071851772; 9781071851777,lifespan development in context a topical approach - kuth,SAGE,Lifespan development in context : a topical approach /,[2024]
GW - PSYC-63,PSYC 2014 - Dopkins - Fall 2023,"Dopkins, Stephen",PSYC 2014,,9780716756675; 0716756676; 9781464128769; 1464128766,cognition theory and practice - revl,Worth Publishers,Cognition : theory and practice /,©2013.
GW - PSYC-63,PSYC 2015 - Abuirqeba - Fall 2023,"Abuirqeba, Haedar",PSYC 2015,,1319254381; 9781319254384,an introduction to brain and behavior - kolb,Worth Publishers,An introduction to brain and behavior /,2023.
GW - PSYC-63,PSYC 2101 - Keller - Fall 2023,"Keller, Donald",PSYC 2101,,1453335501; 9781453335505,research methods core concepts and skills for psychology - pric,FlatWorld Knowledge,Research methods : core concepts and skills for psychology /,[2021]
GW - PSYC-63,PSYC 2101 - Moore - Fall 2023,"Moore, Philip",PSYC 2101,,1260718905; 9781260718904; 1260883051; 9781260883053; 9781260883046; 1260883043; 9781260883077; 1260883078,methods in behavioral research - cozb,McGraw Hill LLC,Methods in behavioral research /,[2024]
GW - PSYC-63,PSYC 2508 - Schell - Fall 2023,"Schell, Dennis",PSYC 2508,,,man s search for meaning an introduction to logotherapy - fran,Beacon Press,Man's search for meaning; an introduction to logotherapy.,[1963]
GW - PSYC-63,PSYC 2508 - Schell - Fall 2023,"Schell, Dennis",PSYC 2508,,1480402001; 9781480402003,art of loving - from,Open Road Integrated Media,Art of loving /,1956.
GW - PSYC-63,PSYC 2508 - Schell - Fall 2023,"Schell, Dennis",PSYC 2508,,9780395081341; 0395081343; 9780395084090; 0395084091,on becoming a person a therapist s view of psychotherapy - roge,Houghton Mifflin Company,On Becoming a Person : A Therapist's View of Psychotherapy /,[1961]
GW - PSYC-63,PSYC 2508 - Schell - Fall 2023,"Schell, Dennis",PSYC 2508,,9780471293095; 0471293091,toward a psychology of being - masl,J Wiley and Sons,Toward a psychology of being /,[1999]
GW - PUBH-306,PUBH 1101 - Fall 2023,,PUBH 1101,,1284118444; 9781284118445,public health 101 improving community health - rieg,Jones & Bartlett Learning,Public health 101 : improving community health /,[2019]
GW - PUBH-306,PUBH 1101 - Fall 2023,,PUBH 1101,,1284118460; 9781284118469; 1284118444; 9781284118445,public health 101 improving community health - rieg,Jones & Bartlett Learning,Public health 101 : improving community health /,2019.
GW - PUBH-306,PUBH 3130 - Musumeci - Fall 2023,,PUBH 3130,,1119815681; 9781119815686; 1119815738; 9781119815730; 9781119788577; 1119788579; 9781119815716; 1119815711,health economics and financing - getz,John Wiley and Sons Incorporated,Health economics and financing /,[2022]
GW - PUBH-306,PUBH 6003 - Bernat - Fall 2023,"Bernat, Debra",PUBH 6003,,0323552293; 9780323552295,gordis epidemiology - cele,Elsevier,Gordis Epidemiology /,[2019]
GW - PUBH-306,PUBH 6003 - Fall 2023,"Bernat, Debra; Young, Heather",PUBH 6003,,0323552293; 9780323552295,gordis epidemiology - cele,Elsevier,Gordis Epidemiology /,[2019]
GW - REL-226,REL 1003 - Eisen - Fall 2023,"Eisen, Robert",REL 1003,,0197543782; 9780197543788; 9780197546499; 0197546498; 0197543790; 9780197543795; 9780197570722; 0197570720,invitation to world religions - brod,Oxford University Press,Invitation to world religions /,[2022]
GW - SLAV-1475,SLAV 1001 - Fall 2023,"Ovtcharenko, Elena; Shatalina, Galina",SLAV 1001,,0367612801; 9780367612801; 9781003104971; 1003104975,голоса a basic course in russian - robi,Routledge,Голоса : a basic course in Russian /,2023.
GW - SMPA-300,SMPA 2112 - Kelley - Fall 2023,"Kelley, Thomas",SMPA 2112,,0761165290; 9780761165293; 0761163239; 9780761163237,how to shoot video that doesn t suck - stoc,Workman Pub Co,How to shoot video that doesn't suck,c2011.
